x1;x2;x3;x4;x5;x6;x7;x8;x9;y
0;2,14;120;25,6;15,15;58;8,5;5,5;14;12,45
210;2,14;240;36;15,79;67;13,5;7;20,5;19,23
370;2,14;30;70,7;24,46;95;20;22,3;42,3;30,23
0;2,14;120;39,5;18,03;68;14,5;6,5;21;18,96
365;2,14;120;24,7;14,62;58;11,5;6,5;18;18,41
355;2,14;120;35;14,57;62,5;7;5,5;12,5;10,3
0;2,14;420;44;19,56;75;15,5;15;30,5;26,61
305;2,14;180;34,2;17,45;66;8,5;7,3;15,8;14,93
345;2,14;180;61;27,11;94,5;30;35,5;65,5;31,94
380;2,13;180;60,7;18,94;84;6,2;8;14,2;10,65
380;2,13;60;40;16,44;68;7,5;5;12,5;9,3
350;2,07;180;39,7;18,12;68,5;7,8;7,4;15,2;14,75
280;2,07;300;44,6;19,05;77;12,2;11,7;23,9;22,41
540;2,07;300;36,2;15,88;70;9,3;7,2;16,5;15,61
630;2,07;60;33,5;17,59;66;11,3;6,4;17,7;15,44
960;2,07;120;42,3;17,61;74;14,5;10,4;24,9;21,17
395;2,07;150;27,4;14,18;62;5,9;5,2;11,1;9,41
420;2,07;120;32;17,05;63;8,9;10;18,9;17,13
210;2,07;300;61,5;23,43;88;27,3;30,5;57,8;32,94
500;2,07;240;75;22,15;87;11,2;12,4;23,6;19,08
0;2,07;120;25,6;17,49;63,5;12,5;10,7;23,2;23,16
270;2,07;120;34;16,63;64;9,7;4,3;14;11,85
640;2,07;300;46,5;19,86;77,5;12,6;12,3;24,9;22,57
630;2,07;300;49;19,88;78;23,5;17,8;41,3;31,69
0;2,07;180;28,6;15,46;64;10,8;5,9;16,7;17,2
140;2,07;300;29;16,39;60,5;9,9;5,2;15,1;13,55
375;2,07;60;42,4;17,42;76;10,9;6,9;17,8;15,53
185;2,07;300;41;16,85;67;9;5,9;14,9;12,75
310;2,07;180;46;24,51;85,4;20,9;27;47,9;35,13
190;2,07;60;31;17,01;68,5;16;7,5;23,5;23,1
150;2,07;300;38;15,82;70;10,3;6,5;16,8;14,59
430;2,07;60;59;22,21;84,5;26,4;19,5;45,9;33,28
430;2,07;120;58;21,83;86,5;25,3;34,3;59,6;34,43
480;2,07;200;32,9;18,6;70;14,9;13,9;28,8;26,93
220;2,07;120;34,5;21,73;69;19;11;30;28
380;2,07;360;44,5;18,76;69,5;12,2;12;24,2;23,24
555;2,07;300;36,4;18,57;73;16;10;26;21,59
0;2,07;60;23,6;13,96;57;8,5;4,5;13;11,82
210;2,07;180;27,5;14,87;63;9;6;15;13,15
0;2,07;180;33,5;15,5;68;16;7;23;19,7
0;2,07;240;60,1;23,48;83;18,5;14,5;33;27,88
265;2,07;360;45;18,73;72;10,5;8;18,5;15,87
480;2,07;300;38;16,89;68;11,3;7,5;18,8;15,74
315;2,07;180;38;16,89;69;10;6;16;13,53
405;2,07;180;45,6;18,27;74;15;10,5;25,5;23,22
180;2,07;0;68,3;26,68;94;33,5;25,8;59,3;34,06
220;2,07;240;66,7;23,08;91;32,5;18;50,5;33,97
235;2,07;120;63;23,14;85;12,5;8,5;21;16,96
300;2,07;120;43,5;19,33;80;7;9,5;16,5;13,31
0;2,06;180;38,2;16,53;66;6,2;4,5;10,7;9,37
0;2,06;120;41,8;16,33;74,5;10,3;6,9;17,2;16,27
125;2,06;240;29;16,64;64;10;6,2;16,2;16,72
440;2,06;240;39,3;16,57;70;14,2;10,9;25,1;22,72
265;2,06;360;50;20,81;76,5;10;11,6;21,6;19,76
570;2;120;38;18,85;70;11,5;8,9;20,4;18,45
450;2;120;36,9;16,62;64,5;9,8;6,4;16,2;16,02
355;2;120;40,7;19,63;72,5;18,9;11;29,9;26,64
320;2;420;44,6;19,05;75;19,4;9,3;28,7;25,46
320;2;120;39,6;15,86;68;8,8;5,5;14,3;11,45
390;2;240;46,3;17,86;73;10,5;7,9;18,4;17,38
300;2;360;60,9;25,02;92;23;39,3;62,3;32,13
295;2;120;51,9;21,06;73,5;9;8,2;17,2;13,97
171;2;60;41,8;17,4;67;14;8,8;22,8;18,44
390;2;180;33,1;16,89;66;9,5;6,5;16;15,83
605;2;300;35,2;17,71;63,5;13,4;7,2;20,6;18,02
250;2;60;41,6;19,52;71;16,3;13,4;29,7;26,81
720;2;180;31;14,35;61;4,8;3,4;8,2;5,56
470;2;180;39,8;17;65;10,5;5,6;16,1;13,62
835;2;180;38,9;15,98;69;7,8;4,6;12,4;9,49
290;2;240;40,9;15,78;71;9,5;6,4;15,9;13,03
375;2;240;36,7;17,95;67;11,9;5,6;17,5;15,55
470;2;120;36,4;17,31;64;9,5;6,8;16,3;14,12
377;2;180;42;18,67;77,5;15,8;14,1;29,9;26,64
160;2;30;38;17,59;67;13,5;7,2;20,7;19,4
680;2;180;60,3;23,26;85;13,9;18,2;32,1;27,57
0;2;180;43,8;16,28;66;5,6;6,5;12,1;8,88
0;2;180;49,3;20,79;77;17,5;12,4;29,9;24,24
0;2;180;36,4;15,55;62,5;6;4,8;10,8;7,78
0;2;120;47,3;19,94;81;7,8;6,6;14,4;13,55
0;2;240;39,6;19,1;71;14,3;8,2;22,5;19,6
0;2;120;22;15,28;53;7;4,6;11,6;10,35
410;2;420;59;21,67;88;18;17,9;35,9;29,6
410;2;240;31,4;14,93;58,5;7,2;5,5;12,7;10,21
0;2;360;70,5;20,38;86,5;9,1;7,5;16,6;13
280;2;120;55;19,72;75;5;6,9;11,9;8,27
480;2;240;31;14,74;65;10;7;17;14,78
1;2;300;33,1;18,71;68;16,7;9,5;26,2;24,43
675;2;120;32;18,09;67;11,4;9,5;20,9;18,57
0;2;180;29,2;16,26;63;15,5;7,3;22,8;22,54
385;2;30;34;15,95;64;7,8;6;13,8;13,94
350;2;30;37,6;18,91;73,5;15,4;18,8;34,2;28,03
120;2;300;60;22,04;85;21;13,5;34,5;28,89
120;2;420;21;15,08;53;9,4;5;14,4;15,25
210;2;180;39,5;20,74;77;16,7;14,5;31,2;27,74
0;2;240;19;12,36;51;7,8;10;17,8;15,83
125;2;180;74;26,85;91;21,5;22,5;44;32,57
240;2;180;47;18,59;78;17,2;13;30,2;26,43
230;2;60;38,7;17,67;67;10,3;5,5;15,8;13,63
125;2;180;28;14,92;58;6,5;4,2;10,7;8,67
290;2;240;23;14,72;56;10,5;9,5;20;20,2
470;2;240;35,4;11,5;66;11,5;6,6;18,1;16,1
280;2;120;28,3;13,84;60;10,8;4,5;15,3;13,15
160;2;120;54;21,36;80;13,5;14;27,5;25,05
826;2;300;54,4;21,79;84;26,3;13,5;39,8;31,72
